edad;sexo;alfabeto;sistema_salud;nivel_educativo;ocupacion_jerarquia;estado_civil;ingreso
59;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;1;40000
46;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Director;3;12000
65;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;2;400
46;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;3;25000
53;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Director;3;25000
38;hombre;Si;Obra social (incluye PAMI);Secundaria Incompleta;Cuenta propia;1;40000
65;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;1;10000
25;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;4;8000
41;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;2;4000
61;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;1;12000
48;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;1;12000
21;mujer;Si;No paga ni le descuentan;Superior Universitaria Incompleta;Director;3;4500
42;mujer;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;3;2500
61;mujer;Si;Obra social (incluye PAMI);Primaria Completa;Trabajador asalariado;2;2000
66;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;1;2000
48;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Incompleta;Cuenta propia;2;10000
36;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;3;10000
54;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;1;15000
74;hombre;Si;Obra social (incluye PAMI);Sin instrucción;Cuenta propia;2;5000
49;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;3;30000
64;mujer;Si;Obra social (incluye PAMI);Primaria Completa;Cuenta propia;1;2000
38;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;3;10000
37;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;4;5000
44;mujer;Si;Obra social (incluye PAMI);Secundaria Completa;Director;3;40000
37;hombre;Si;Obra social (incluye PAMI);Primaria Completa;Cuenta propia;4;30000
37;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Director;4;25000
38;mujer;Si;No paga ni le descuentan;Superior Universitaria Incompleta;Cuenta propia;4;10000
51;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;1;25000
39;hombre;Si;Obra social (incluye PAMI);Secundaria Incompleta;Cuenta propia;4;17000
61;hombre;Si;Mutual / Prepaga / Servicio de emergencia;Primaria Completa;Cuenta propia;3;10000
42;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Incompleta;Cuenta propia;1;5000
35;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;4;8000
31;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;4;20000
22;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;4;4000
38;hombre;Si;Mutual / Prepaga / Servicio de emergencia;Superior Universitaria Completa;Director;1;100000
48;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Incompleta;Cuenta propia;2;15000
33;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;3;6000
54;mujer;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;5;3000
23;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Incompleta;Cuenta propia;3;700
30;mujer;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;1;6000
77;hombre;Si;Obra social (incluye PAMI);Primaria Incompleta(incluye educación especial);Cuenta propia;5;5000
42;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;4;18000
46;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;1;28000
40;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;1;8000
35;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Incompleta;Cuenta propia;4;20000
41;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;1;8000
62;hombre;Si;Mutual / Prepaga / Servicio de emergencia;Superior Universitaria Completa;Cuenta propia;4;8000
48;hombre;Si;Mutual / Prepaga / Servicio de emergencia;Secundaria Completa;Director;1;35000
49;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;1;6000
66;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;1;30000
48;mujer;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;1;5000
64;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Director;1;30000
64;mujer;Si;Obra social (incluye PAMI);Primaria Completa;Cuenta propia;5;7000
40;hombre;Si;Obra social (incluye PAMI);Secundaria Incompleta;Director;1;40000
25;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;3;30000
43;hombre;Si;Obra social (incluye PAMI);Secundaria Incompleta;Cuenta propia;1;15000
75;hombre;Si;Obra social (incluye PAMI);Primaria Incompleta(incluye educación especial);Cuenta propia;1;2000
52;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;1;16000
31;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;4;15000
58;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;1;9000
30;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;4;16000
45;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;3;10000
23;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;3;6000
23;hombre;Si;No paga ni le descuentan;Superior Universitaria Incompleta;Cuenta propia;4;500
61;mujer;Si;Obra social (incluye PAMI);Secundaria Incompleta;Cuenta propia;2;7500
77;hombre;Si;Obra social (incluye PAMI);Secundaria Incompleta;Cuenta propia;1;20000
42;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;4;2500
69;hombre;Si;Obra social (incluye PAMI);Primaria Completa;Cuenta propia;5;3000
30;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;4;8000
40;hombre;Si;Obra social (incluye PAMI);Primaria Completa;Cuenta propia;1;5000
33;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Incompleta;Cuenta propia;2;16500
64;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;1;35000
45;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;4;7000
55;mujer;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;4;3000
65;hombre;Si;Obra social (incluye PAMI);Primaria Completa;Cuenta propia;1;2000
22;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;1;5000
59;hombre;Si;No paga ni le descuentan;Superior Universitaria Incompleta;Cuenta propia;2;15000
44;hombre;Si;Obra social (incluye PAMI);Secundaria Incompleta;Cuenta propia;2;16000
65;mujer;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;1;2000
54;mujer;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;1;11200
48;mujer;Si;No paga ni le descuentan;Primaria Incompleta(incluye educación especial);Cuenta propia;3;500
49;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;1;20000
57;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Incompleta;Cuenta propia;3;11000
43;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;1;30000
38;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;1;20000
60;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;1;19000
27;mujer;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;4;9000
69;hombre;Si;Obra social (incluye PAMI);Primaria Incompleta(incluye educación especial);Cuenta propia;1;3000
52;hombre;Si;Mutual / Prepaga / Servicio de emergencia;Secundaria Incompleta;Cuenta propia;1;6000
55;hombre;Si;Obra social (incluye PAMI);Primaria Completa;Cuenta propia;1;12000
53;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Director;1;60000
32;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;3;8000
52;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;1;60000
55;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;4;18000
47;mujer;Si;Obra social (incluye PAMI);Primaria Completa;Cuenta propia;1;5000
45;hombre;Si;Obra social (incluye PAMI);Secundaria Incompleta;Cuenta propia;1;4000
36;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;1;10000
27;mujer;Si;No paga ni le descuentan;Superior Universitaria Incompleta;Cuenta propia;3;2800
28;mujer;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;3;12800
31;hombre;Si;Obra social (incluye PAMI);Secundaria Incompleta;Cuenta propia;2;6000
45;mujer;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;1;12000
33;hombre;Si;No paga ni le descuentan;Superior Universitaria Incompleta;Cuenta propia;4;10000
28;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;4;11000
33;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Director;1;15000
39;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;4;8000
37;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;3;5000
36;hombre;Si;No paga ni le descuentan;Primaria Incompleta(incluye educación especial);Cuenta propia;4;10000
60;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;1;6000
28;mujer;Si;No paga ni le descuentan;Superior Universitaria Incompleta;Cuenta propia;3;15000
32;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;4;6000
45;mujer;Si;Obra social y mutual/prepaga/servicio de emergencia.;Superior Universitaria Completa;Cuenta propia;2;15000
31;hombre;Si;Obra social (incluye PAMI);Secundaria Incompleta;Cuenta propia;1;15000
47;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;3;2000
28;mujer;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;3;4000
41;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;4;9000
80;mujer;Si;Obra social y mutual/prepaga/servicio de emergencia.;Secundaria Completa;Cuenta propia;5;2500
40;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;4;20000
51;mujer;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;2;8000
71;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;3;15000
41;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Incompleta;Cuenta propia;2;20000
29;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;3;8000
79;hombre;Si;Obra social y mutual/prepaga/servicio de emergencia.;Secundaria Incompleta;Director;5;9500
51;mujer;Si;Mutual / Prepaga / Servicio de emergencia;Primaria Completa;Cuenta propia;5;2800
29;hombre;Si;No paga ni le descuentan;Primaria Incompleta(incluye educación especial);Cuenta propia;3;1000
50;mujer;Si;Obra social (incluye PAMI);Primaria Completa;Cuenta propia;2;2000
52;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Director;1;20000
53;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;1;2400
40;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Incompleta;Cuenta propia;1;2000
29;hombre;Si;Obra social (incluye PAMI);Secundaria Incompleta;Cuenta propia;3;3500
41;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;1;40000
41;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;4;1000
35;hombre;Si;No paga ni le descuentan;Superior Universitaria Incompleta;Cuenta propia;3;16000
54;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;4;15000
57;mujer;Si;Obra social (incluye PAMI);Secundaria Completa;Director;1;56000
51;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;4;40000
37;hombre;Si;Mutual / Prepaga / Servicio de emergencia;Superior Universitaria Incompleta;Cuenta propia;4;20000
50;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;1;5000
61;mujer;Si;Obra social y mutual/prepaga/servicio de emergencia.;Primaria Completa;Cuenta propia;2;6000
45;mujer;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;4;15000
25;hombre;Si;Mutual / Prepaga / Servicio de emergencia;Secundaria Completa;Cuenta propia;3;18000
60;mujer;Si;No paga ni le descuentan;Primaria Completa;Trabajador asalariado;1;4500
37;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;1;15000
47;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;1;15000
24;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;4;25000
45;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;1;10000
47;mujer;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;4;12000
33;mujer;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;1;10000
54;hombre;Si;Obra social (incluye PAMI);Primaria Completa;Cuenta propia;3;18000
26;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;3;5000
36;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;4;16000
40;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;1;10000
60;hombre;Si;Obra social (incluye PAMI);Primaria Completa;Cuenta propia;1;25000
48;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Director;1;30000
54;hombre;Si;Mutual / Prepaga / Servicio de emergencia;Superior Universitaria Completa;Cuenta propia;3;18000
58;mujer;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;3;1000
53;hombre;Si;Obra social (incluye PAMI);Secundaria Incompleta;Cuenta propia;5;1000
51;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;2;27000
59;hombre;Si;No paga ni le descuentan;Primaria Incompleta(incluye educación especial);Cuenta propia;1;10000
40;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;3;6000
58;hombre;Si;Mutual / Prepaga / Servicio de emergencia;Secundaria Completa;Cuenta propia;3;20000
21;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;3;15000
34;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;4;6000
33;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;1;20000
25;mujer;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;4;3000
57;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;1;14000
46;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Director;1;60000
58;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;4;12000
38;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;2;4000
46;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;1;9000
41;hombre;Si;No paga ni le descuentan;Primaria Incompleta(incluye educación especial);Cuenta propia;4;8000
67;mujer;Si;Obra social (incluye PAMI);Primaria Completa;Cuenta propia;4;10000
33;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;1;15000
57;hombre;No;No paga ni le descuentan;Sin instrucción;Cuenta propia;1;20000
47;hombre;Si;Mutual / Prepaga / Servicio de emergencia;Secundaria Completa;Director;3;100000
55;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;1;30000
41;mujer;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;1;5000
62;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Incompleta;Cuenta propia;2;2000
48;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;1;13500
34;mujer;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;4;4000
64;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;2;5000
62;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;2;5000
36;mujer;Si;Mutual / Prepaga / Servicio de emergencia;Superior Universitaria Incompleta;Cuenta propia;3;2500
66;hombre;Si;No paga ni le descuentan;Primaria Completa;Director;1;15000
38;mujer;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;3;40000
61;hombre;Si;No paga ni le descuentan;Primaria Incompleta(incluye educación especial);Cuenta propia;1;7000
39;hombre;Si;No paga ni le descuentan;Primaria Incompleta(incluye educación especial);Cuenta propia;3;10000
56;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;2;12000
66;hombre;Si;Obra social (incluye PAMI);Secundaria Incompleta;Cuenta propia;1;17000
59;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Director;4;40000
38;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;3;3000
29;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;1;25000
50;hombre;Si;No paga ni le descuentan;Primaria Incompleta(incluye educación especial);Cuenta propia;4;5000
36;hombre;Si;No paga ni le descuentan;Superior Universitaria Completa;Cuenta propia;4;15000
58;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;3;8000
56;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Incompleta;Cuenta propia;1;10000
66;hombre;Si;Obra social (incluye PAMI);Primaria Incompleta(incluye educación especial);Cuenta propia;3;8000
34;mujer;Si;No paga ni le descuentan;Superior Universitaria Incompleta;Cuenta propia;4;12000
31;mujer;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;1;2000
57;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;1;3500
52;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;4;12000
53;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;1;5000
55;hombre;Si;No paga ni le descuentan;Primaria Incompleta(incluye educación especial);Cuenta propia;1;4000
36;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;4;20000
56;mujer;Si;Obra social (incluye PAMI);Primaria Completa;Cuenta propia;1;5000
33;hombre;Si;Mutual / Prepaga / Servicio de emergencia;Superior Universitaria Incompleta;Cuenta propia;3;7000
33;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Director;4;16000
57;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;2;12000
54;hombre;Si;Mutual / Prepaga / Servicio de emergencia;Superior Universitaria Incompleta;Cuenta propia;4;15000
42;hombre;Si;Obra social (incluye PAMI);Primaria Completa;Cuenta propia;1;15000
56;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;3;6000
45;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;1;1500
43;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Director;4;30000
63;mujer;Si;Obra social (incluye PAMI);Secundaria Completa;Director;5;20000
65;hombre;Si;Obra social (incluye PAMI);Secundaria Incompleta;Cuenta propia;4;14000
65;hombre;Si;No paga ni le descuentan;Primaria Incompleta(incluye educación especial);Cuenta propia;1;8000
59;mujer;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;2;10000
36;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;3;6000
54;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Incompleta;Cuenta propia;3;30000
38;hombre;Si;No paga ni le descuentan;Superior Universitaria Completa;Cuenta propia;4;1000
44;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Director;1;15000
58;hombre;Si;No paga ni le descuentan;Primaria Incompleta(incluye educación especial);Cuenta propia;4;18000
38;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;1;15000
69;mujer;Si;Obra social (incluye PAMI);Secundaria Incompleta;Cuenta propia;4;4000
46;mujer;Si;Mutual / Prepaga / Servicio de emergencia;Superior Universitaria Incompleta;Cuenta propia;2;6000
54;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;2;6000
45;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;4;8000
54;mujer;Si;No paga ni le descuentan;Superior Universitaria Incompleta;Cuenta propia;3;8000
80;mujer;Si;Obra social (incluye PAMI);Primaria Incompleta(incluye educación especial);Cuenta propia;5;1000
44;mujer;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;1;5000
76;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;3;10000
39;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;4;6000
45;hombre;Si;No paga ni le descuentan;Primaria Incompleta(incluye educación especial);Cuenta propia;3;2000
47;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;3;18000
29;mujer;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;3;6000
39;hombre;Si;No paga ni le descuentan;Superior Universitaria Completa;Cuenta propia;4;30000
52;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Director;3;16000
42;hombre;Si;No paga ni le descuentan;Sin instrucción;Cuenta propia;4;8600
62;hombre;Si;Mutual / Prepaga / Servicio de emergencia;Superior Universitaria Incompleta;Cuenta propia;1;25000
43;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;1;8000
20;hombre;Si;No paga ni le descuentan;Secundaria Completa;Director;4;3000
58;hombre;Si;Obra social (incluye PAMI);Primaria Completa;Cuenta propia;1;10000
72;hombre;Si;Obra social (incluye PAMI);Primaria Completa;Cuenta propia;2;6000
37;mujer;Si;Mutual / Prepaga / Servicio de emergencia;Primaria Completa;Director;3;10000
57;mujer;Si;No paga ni le descuentan;Superior Universitaria Completa;Cuenta propia;2;12000
34;hombre;Si;Planes y seguros públicos;Primaria Incompleta(incluye educación especial);Cuenta propia;4;40000
62;hombre;Si;No paga ni le descuentan;Secundaria Completa;Director;4;9000
44;mujer;Si;No paga ni le descuentan;Secundaria Completa;Director;1;12000
55;hombre;Si;No paga ni le descuentan;Primaria Incompleta(incluye educación especial);Cuenta propia;3;25000
58;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;1;1000
27;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;3;4000
44;hombre;Si;Mutual / Prepaga / Servicio de emergencia;Superior Universitaria Incompleta;Cuenta propia;3;5000
30;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;3;1400
40;mujer;Si;Obra social (incluye PAMI);Secundaria Incompleta;Cuenta propia;1;1000
24;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Incompleta;Cuenta propia;3;2500
43;mujer;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;2;4000
62;mujer;Si;Mutual / Prepaga / Servicio de emergencia;Superior Universitaria Completa;Cuenta propia;2;25000
32;hombre;Si;Obra social y mutual/prepaga/servicio de emergencia.;Superior Universitaria Incompleta;Cuenta propia;1;35000
41;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;3;2000
42;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;4;15000
56;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Incompleta;Cuenta propia;2;25000
33;hombre;Si;No paga ni le descuentan;Superior Universitaria Incompleta;Cuenta propia;1;12000
30;mujer;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;1;1500
63;mujer;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;4;10000
25;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;4;8000
29;hombre;Si;Obra social (incluye PAMI);Secundaria Incompleta;Cuenta propia;4;30000
30;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;3;12800
21;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Incompleta;Cuenta propia;3;15000
57;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;4;10000
39;hombre;No;No paga ni le descuentan;Sin instrucción;Cuenta propia;3;6000
44;mujer;Si;No paga ni le descuentan;Superior Universitaria Completa;Cuenta propia;3;8000
60;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;1;17000
63;hombre;Si;Obra social (incluye PAMI);Primaria Completa;Cuenta propia;1;30000
49;hombre;Si;Obra social (incluye PAMI);Primaria Completa;Director;4;25000
59;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Incompleta;Cuenta propia;4;10000
54;mujer;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;4;1000
45;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;4;20000
32;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;3;5000
23;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;4;7000
34;mujer;Si;Mutual / Prepaga / Servicio de emergencia;Superior Universitaria Completa;Cuenta propia;4;25000
50;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Director;3;30000
34;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;1;25000
36;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Incompleta;Director;4;30000
28;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;3;8000
55;mujer;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;4;1200
38;hombre;No;Obra social (incluye PAMI);Primaria Incompleta(incluye educación especial);Cuenta propia;3;6000
32;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;4;9000
48;hombre;Si;Mutual / Prepaga / Servicio de emergencia;Superior Universitaria Completa;Director;1;30000
76;hombre;Si;Obra social (incluye PAMI);Secundaria Incompleta;Cuenta propia;5;8000
41;mujer;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;1;7500
55;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;2;7000
40;hombre;Si;Obra social (incluye PAMI);Primaria Completa;Cuenta propia;4;6000
69;hombre;No;Obra social (incluye PAMI);Primaria Incompleta(incluye educación especial);Cuenta propia;1;9000
54;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;2;10000
37;mujer;Si;No paga ni le descuentan;Primaria Incompleta(incluye educación especial);Cuenta propia;4;600
64;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;3;20000
68;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Incompleta;Cuenta propia;2;20000
47;mujer;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;2;3500
42;hombre;Si;Obra social (incluye PAMI);Primaria Completa;Cuenta propia;1;8000
33;mujer;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;4;3000
27;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;3;15000
42;hombre;Si;No paga ni le descuentan;Superior Universitaria Completa;Cuenta propia;4;15000
30;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Incompleta;Cuenta propia;3;35000
57;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;4;2000
40;mujer;Si;No paga ni le descuentan;Superior Universitaria Incompleta;Cuenta propia;1;10000
47;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;1;8000
65;hombre;Si;Obra social (incluye PAMI);Primaria Completa;Cuenta propia;2;12000
35;mujer;Si;No paga ni le descuentan;Superior Universitaria Incompleta;Cuenta propia;4;2500
66;hombre;Si;Obra social (incluye PAMI);Primaria Completa;Cuenta propia;4;5000
35;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;3;1000
